id,mis,count
1,42,13253
2,44,4422
3,41,11244
4,41,6941
5,43,2091
6,45,1374
7,43,1363
8,42,7526
9,43,4190
10,42,3942
11,44,1513
12,43,6172
13,44,3187
14,44,6846
15,44,5074
16,41,14468
17,43,13273
18,42,5568
19,44,2292
20,43,5668
21,43,19589
22,44,676
23,43,10614
24,45,2926
25,42,6429
26,43,483
27,43,788
28,43,1399
29,44,3556
30,43,1471
31,45,4450
32,42,9657
33,44,3473
34,42,9606
35,43,5724
36,45,821
37,42,1885
38,43,1591
39,42,11336
40,45,1229
41,44,2245
42,44,11784
43,43,4324
44,41,7236
45,41,19976
46,45,1524
47,40,17663
48,41,9428
49,43,588
50,42,7622
51,43,2751
52,45,1774
53,41,4967
54,41,1759
55,42,5421
56,42,1961
57,43,10488
58,43,3726
59,43,4392
60,43,3445
61,41,5221
62,43,14736
63,42,7101
64,43,3920
65,43,5894
66,42,8841
67,44,2048
68,43,2583
69,41,16565
70,42,8218
71,40,6574
72,44,3375
73,41,17205
74,44,2805
75,42,5669
76,43,7195
77,43,11371
78,42,8812
79,42,7618
80,43,9775
81,42,11748
82,41,6144
83,41,4906
84,42,8157
85,45,2464
86,42,4732
87,43,9032
88,43,1692
89,43,9456
90,44,3896
91,42,16607
92,42,6535
93,42,2457
94,45,1361
95,45,665
96,43,2692
97,40,15458
98,44,1876
99,44,7127
100,42,13188
101,44,6566
102,42,3025
103,44,2191
104,43,4214
105,42,6103
106,43,5287
107,43,2778
108,42,8098
109,44,869
110,44,19011
111,43,8588
112,42,6909
113,42,28993
114,45,777
115,44,6469
116,42,7023
117,42,8090
118,45,2910
119,42,7935
120,42,3091
121,44,4173
122,41,7847
123,42,9857
124,41,12947
125,42,4753
126,43,2244
127,42,11807
128,45,2481
129,42,15455
130,41,7539
131,43,4543
132,44,9032
133,44,1223
134,43,6113
135,45,6238
136,44,691
137,45,955
138,45,3435
139,44,1533
140,42,5625
141,43,3550
142,44,2890
143,44,3383
